,Helsinki,Portland,Boston
07.07.2014 00:00,27.053782,35.99,38.87
07.07.2014 01:00,26.832302,35.1,37.86
07.07.2014 02:00,26.998412,35.03,37.9
07.07.2014 03:00,26.732636,34.95,37.86
07.07.2014 04:00,28.814548,28.33,30.92
07.07.2014 05:00,42.446642,28.32,30.87
07.07.2014 06:00,48.67023,24.21,26.41
07.07.2014 07:00,46.798724,19.55,21.31
07.07.2014 08:00,47.097722,16.81,18.18
07.07.2014 09:00,48.637008,15.93,17.04
07.07.2014 10:00,48.260492,16.81,18.11
07.07.2014 11:00,48.28264,20.7,22.42
07.07.2014 12:00,46.134284,29.98,32.46
07.07.2014 13:00,45.270512,34.78,37.99
07.07.2014 14:00,44.085594,38.31,41.68
07.07.2014 15:00,44.750034,38.5,43.4
07.07.2014 16:00,42.756714,43.7,49.56
07.07.2014 17:00,42.723492,50.11,57.03
07.07.2014 18:00,43.35471,53.57,61.06
07.07.2014 19:00,41.239576,53.53,60.96
07.07.2014 20:00,42.568456,58.23,66.81
07.07.2014 21:00,41.261724,59.63,68.55
07.07.2014 22:00,32.037082,61.13,70.33
07.07.2014 23:00,31.084718,58.95,67.74
08.07.2014 00:00,29.379322,49.62,56.38
08.07.2014 01:00,28.07259,45.89,52.02
08.07.2014 02:00,27.640704,46.18,52.27
08.07.2014 03:00,27.474594,41,46.56
08.07.2014 04:00,34.38477,35.74,41.14
08.07.2014 05:00,45.392326,34.78,37.93
08.07.2014 06:00,47.584978,34.62,37.89
08.07.2014 07:00,47.596052,32.03,35.02
08.07.2014 08:00,51.394434,31.83,34.72
08.07.2014 09:00,50.851808,30.38,32.91
08.07.2014 10:00,51.084362,30.97,33.87
08.07.2014 11:00,49.312522,32.15,35.05
08.07.2014 12:00,48.459824,35,38.15
08.07.2014 13:00,46.333616,39.6,42.46
08.07.2014 14:00,46.366838,40.64,43.12
08.07.2014 15:00,46.754428,49.01,53.42
08.07.2014 16:00,46.045692,44.93,48.47
08.07.2014 17:00,47.020204,57.63,63.53
08.07.2014 18:00,46.366838,65.16,72.36
08.07.2014 19:00,42.0812,70.69,78.78
08.07.2014 20:00,43.554042,70.29,78.22
08.07.2014 21:00,41.294946,70.92,78.94
08.07.2014 22:00,32.103526,71.28,79.35
08.07.2014 23:00,27.264188,69.74,77.77
09.07.2014 00:00,26.234306,58.25,64.08
09.07.2014 01:00,24.407096,53.55,59.08
09.07.2014 02:00,23.166808,54.8,60.57
09.07.2014 03:00,24.03058,44.91,48.77
09.07.2014 04:00,27.773592,37.3,40.99
09.07.2014 05:00,42.19194,34.38,36.98
09.07.2014 06:00,47.363498,30.58,34.69
09.07.2014 07:00,45.580584,28,31.57
09.07.2014 08:00,48.736674,25.09,27.42
09.07.2014 09:00,49.39004,23,24.74
09.07.2014 10:00,49.345744,23.44,25.27
09.07.2014 11:00,48.304788,27.87,30.24
09.07.2014 12:00,46.577244,31.7,34.72
09.07.2014 13:00,44.783256,32.8,35.46
09.07.2014 14:00,44.24063,37.69,41.24
09.07.2014 15:00,43.111082,42.42,46.27
09.07.2014 16:00,42.933898,47.91,53.36
09.07.2014 17:00,44.373518,49.81,55.35
09.07.2014 18:00,44.24063,56.42,62.32
09.07.2014 19:00,41.073466,60.43,66.96
09.07.2014 20:00,41.228502,62.4,69.13
09.07.2014 21:00,39.622772,65.1,72.71
09.07.2014 22:00,28.548772,61.23,67.85
09.07.2014 23:00,27.762518,57.5,63.98
10.07.2014 00:00,24.19669,45.74,51.72
10.07.2014 01:00,23.299696,40.79,46.4
10.07.2014 02:00,23.665138,38.7,43.77
10.07.2014 03:00,25.41483,39.33,43.22
10.07.2014 04:00,28.305144,32.08,35.29
10.07.2014 05:00,38.282818,31.65,34.9
10.07.2014 06:00,41.261724,28.18,29.98
10.07.2014 07:00,41.782202,25.5,27.48
10.07.2014 08:00,43.85304,21.59,23.07
10.07.2014 09:00,44.229556,21.17,22.44
10.07.2014 10:00,44.218482,21.13,22.36
10.07.2014 11:00,43.930558,23.67,25.05
10.07.2014 12:00,42.679196,28.98,30.56
10.07.2014 13:00,43.90841,32.82,34.59
10.07.2014 14:00,41.494278,34.04,35.51
10.07.2014 15:00,41.505352,35.88,37.01
10.07.2014 16:00,41.25065,35.94,37.89
10.07.2014 17:00,41.272798,38.92,41.21
10.07.2014 18:00,41.449982,40.72,43.06
10.07.2014 19:00,41.206354,45.85,48.87
10.07.2014 20:00,40.80769,46.42,49.51
10.07.2014 21:00,40.785542,48.36,51.92
10.07.2014 22:00,31.549826,48.31,51.87
10.07.2014 23:00,28.73703,44.75,47.87
11.07.2014 00:00,27.685,39.63,42.52
11.07.2014 01:00,26.400416,37,39.52
11.07.2014 02:00,25.735976,34.55,36.8
11.07.2014 03:00,26.123566,37,39.67
