,Helsinki,Portland
07.07.2014 00:00,27.053782,35.99
07.07.2014 01:00,26.832302,35.1
07.07.2014 02:00,26.998412,35.03
07.07.2014 03:00,26.732636,34.95
07.07.2014 04:00,28.814548,28.33
07.07.2014 05:00,42.446642,28.32
07.07.2014 06:00,48.67023,24.21
07.07.2014 07:00,46.798724,19.55
07.07.2014 08:00,47.097722,16.81
07.07.2014 09:00,48.637008,15.93
07.07.2014 10:00,48.260492,16.81
07.07.2014 11:00,48.28264,20.7
07.07.2014 12:00,46.134284,29.98
07.07.2014 13:00,45.270512,34.78
07.07.2014 14:00,44.085594,38.31
07.07.2014 15:00,44.750034,38.5
07.07.2014 16:00,42.756714,43.7
07.07.2014 17:00,42.723492,50.11
07.07.2014 18:00,43.35471,53.57
07.07.2014 19:00,41.239576,53.53
07.07.2014 20:00,42.568456,58.23
07.07.2014 21:00,41.261724,59.63
07.07.2014 22:00,32.037082,61.13
07.07.2014 23:00,31.084718,58.95
08.07.2014 00:00,29.379322,49.62
08.07.2014 01:00,28.07259,45.89
08.07.2014 02:00,27.640704,46.18
08.07.2014 03:00,27.474594,41
08.07.2014 04:00,34.38477,35.74
08.07.2014 05:00,45.392326,34.78
08.07.2014 06:00,47.584978,34.62
08.07.2014 07:00,47.596052,32.03
08.07.2014 08:00,51.394434,31.83
08.07.2014 09:00,50.851808,30.38
08.07.2014 10:00,51.084362,30.97
08.07.2014 11:00,49.312522,32.15
08.07.2014 12:00,48.459824,35
08.07.2014 13:00,46.333616,39.6
08.07.2014 14:00,46.366838,40.64
08.07.2014 15:00,46.754428,49.01
08.07.2014 16:00,46.045692,44.93
08.07.2014 17:00,47.020204,57.63
08.07.2014 18:00,46.366838,65.16
08.07.2014 19:00,42.0812,70.69
08.07.2014 20:00,43.554042,70.29
08.07.2014 21:00,41.294946,70.92
08.07.2014 22:00,32.103526,71.28
08.07.2014 23:00,27.264188,69.74
09.07.2014 00:00,26.234306,58.25
09.07.2014 01:00,24.407096,53.55
09.07.2014 02:00,23.166808,54.8
09.07.2014 03:00,24.03058,44.91
09.07.2014 04:00,27.773592,37.3
09.07.2014 05:00,42.19194,34.38
09.07.2014 06:00,47.363498,30.58
09.07.2014 07:00,45.580584,28
09.07.2014 08:00,48.736674,25.09
09.07.2014 09:00,49.39004,23
09.07.2014 10:00,49.345744,23.44
09.07.2014 11:00,48.304788,27.87
09.07.2014 12:00,46.577244,31.7
09.07.2014 13:00,44.783256,32.8
09.07.2014 14:00,44.24063,37.69
09.07.2014 15:00,43.111082,42.42
09.07.2014 16:00,42.933898,47.91
09.07.2014 17:00,44.373518,49.81
09.07.2014 18:00,44.24063,56.42
09.07.2014 19:00,41.073466,60.43
09.07.2014 20:00,41.228502,62.4
09.07.2014 21:00,39.622772,65.1
09.07.2014 22:00,28.548772,61.23
09.07.2014 23:00,27.762518,57.5
10.07.2014 00:00,24.19669,45.74
10.07.2014 01:00,23.299696,40.79
10.07.2014 02:00,23.665138,38.7
10.07.2014 03:00,25.41483,39.33
10.07.2014 04:00,28.305144,32.08
10.07.2014 05:00,38.282818,31.65
10.07.2014 06:00,41.261724,28.18
10.07.2014 07:00,41.782202,25.5
10.07.2014 08:00,43.85304,21.59
10.07.2014 09:00,44.229556,21.17
10.07.2014 10:00,44.218482,21.13
10.07.2014 11:00,43.930558,23.67
10.07.2014 12:00,42.679196,28.98
10.07.2014 13:00,43.90841,32.82
10.07.2014 14:00,41.494278,34.04
10.07.2014 15:00,41.505352,35.88
10.07.2014 16:00,41.25065,35.94
10.07.2014 17:00,41.272798,38.92
10.07.2014 18:00,41.449982,40.72
10.07.2014 19:00,41.206354,45.85
10.07.2014 20:00,40.80769,46.42
10.07.2014 21:00,40.785542,48.36
10.07.2014 22:00,31.549826,48.31
10.07.2014 23:00,28.73703,44.75
11.07.2014 00:00,27.685,39.63
11.07.2014 01:00,26.400416,37
11.07.2014 02:00,25.735976,34.55
11.07.2014 03:00,26.123566,37
11.07.2014 04:00,35.4368,32.71
11.07.2014 05:00,42.036904,30.25
11.07.2014 06:00,46.388986,25.37
11.07.2014 07:00,46.62154,22
11.07.2014 08:00,46.555096,19.77
11.07.2014 09:00,46.28932,19.7
11.07.2014 10:00,45.779916,19.83
11.07.2014 11:00,44.650368,21.32
11.07.2014 12:00,44.008076,25.76
11.07.2014 13:00,44.661442,29.15
11.07.2014 14:00,45.303734,32
11.07.2014 15:00,44.18526,35.09
11.07.2014 16:00,42.933898,37
11.07.2014 17:00,41.91509,39
11.07.2014 18:00,41.283872,39.37
11.07.2014 19:00,41.02917,40.85
11.07.2014 20:00,41.239576,42.22
11.07.2014 21:00,41.206354,41.75
11.07.2014 22:00,33.089112,40.61
