,Helsinki,Portland,Boston
07.07.2014 00:00,,,29.64
07.07.2014 01:00,,,28.42
07.07.2014 02:00,,,27.78
07.07.2014 03:00,,,25.19
07.07.2014 04:00,,,23.99
07.07.2014 05:00,,,26.39
07.07.2014 06:00,,,30.43
07.07.2014 07:00,,,35.43
07.07.2014 08:00,,,27.18
07.07.2014 09:00,,,22.10
07.07.2014 10:00,,,41.65
07.07.2014 11:00,,,52.02
07.07.2014 12:00,,,56.94
07.07.2014 13:00,,,54.34
07.07.2014 14:00,,,55.97
07.07.2014 15:00,,,86.79
07.07.2014 16:00,,,96.13
07.07.2014 17:00,,,57.99
07.07.2014 18:00,,,53.03
07.07.2014 19:00,,,53.93
07.07.2014 20:00,,,53.29
07.07.2014 21:00,,,40.45
07.07.2014 22:00,,,36.73
07.07.2014 23:00,,,40.13
08.07.2014 00:00,,,41.18
08.07.2014 01:00,,,40.13
08.07.2014 02:00,,,35.77
08.07.2014 03:00,,,30.07
08.07.2014 04:00,,,27.57
08.07.2014 05:00,,,31.71
08.07.2014 06:00,,,30.61
08.07.2014 07:00,,,26.58
08.07.2014 08:00,,,30.92
08.07.2014 09:00,,,36.39
08.07.2014 10:00,,,42.23
08.07.2014 11:00,,,48.36
08.07.2014 12:00,,,48.77
08.07.2014 13:00,,,65.45
08.07.2014 14:00,,,67.11
08.07.2014 15:00,,,68.54
08.07.2014 16:00,,,77.60
08.07.2014 17:00,,,67.68
08.07.2014 18:00,,,63.90
08.07.2014 19:00,,,57.80
08.07.2014 20:00,,,52.59
08.07.2014 21:00,,,41.49
08.07.2014 22:00,,,38.75
08.07.2014 23:00,,,35.30
09.07.2014 00:00,,,27.05
09.07.2014 01:00,,,26.13
09.07.2014 02:00,,,23.36
09.07.2014 03:00,,,10.62
09.07.2014 04:00,,,11.54
09.07.2014 05:00,,,24.51
09.07.2014 06:00,,,29.32
09.07.2014 07:00,,,29.13
09.07.2014 08:00,,,33.38
09.07.2014 09:00,,,39.50
09.07.2014 10:00,,,41.50
09.07.2014 11:00,,,39.68
09.07.2014 12:00,,,41.12
09.07.2014 13:00,,,42.20
09.07.2014 14:00,,,44.93
09.07.2014 15:00,,,51.02
09.07.2014 16:00,,,57.39
09.07.2014 17:00,,,58.67
09.07.2014 18:00,,,42.32
09.07.2014 19:00,,,41.42
09.07.2014 20:00,,,38.13
09.07.2014 21:00,,,42.70
09.07.2014 22:00,,,40.46
09.07.2014 23:00,,,35.39
10.07.2014 00:00,,,29.52
10.07.2014 01:00,,,26.27
10.07.2014 02:00,,,26.07
10.07.2014 03:00,,,25.13
10.07.2014 04:00,,,25.14
10.07.2014 05:00,,,25.09
10.07.2014 06:00,,,29.81
10.07.2014 07:00,,,25.44
10.07.2014 08:00,,,21.23
10.07.2014 09:00,,,22.82
10.07.2014 10:00,,,25.81
10.07.2014 11:00,,,27.29
10.07.2014 12:00,,,27.02
10.07.2014 13:00,,,27.12
10.07.2014 14:00,,,29.10
10.07.2014 15:00,,,30.12
10.07.2014 16:00,,,37.55
10.07.2014 17:00,,,40.48
10.07.2014 18:00,,,37.50
10.07.2014 19:00,,,32.25
10.07.2014 20:00,,,27.60
10.07.2014 21:00,,,28.55
10.07.2014 22:00,,,24.64
10.07.2014 23:00,,,25.20
11.07.2014 00:00,,,22.49
11.07.2014 01:00,,,21.06
11.07.2014 02:00,,,18.34
11.07.2014 03:00,,,18.69
11.07.2014 04:00,,,19.72
11.07.2014 05:00,,,20.56
