Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2013-06-20 00:00:00,24.36,36.17,25.37,34.9,36.42
2013-06-20 01:00:00,25.26,32.8,23.77,33.15,34.77
2013-06-20 02:00:00,30.4,31.99,23.83,30.13,31.54
2013-06-20 03:00:00,37.44,36.17,24.75,27.9,29.35
2013-06-20 04:00:00,49.86,43.19,34.76,26.78,28.4
2013-06-20 05:00:00,56.03,54.28,53.35,24.35,25.77
2013-06-20 06:00:00,59.46,57.41,57.41,24.21,25.62
2013-06-20 07:00:00,54.81,59.46,59.46,24.51,25.68
2013-06-20 08:00:00,51.07,63.4,54.81,24.65,25.8
2013-06-20 09:00:00,46.73,70.11,51.07,25.39,26.54
2013-06-20 10:00:00,44.18,70.22,46.73,30.54,32.0
2013-06-20 11:00:00,42.62,86.38,44.18,32.29,33.25
2013-06-20 12:00:00,42.44,84.54,42.62,30.5,31.22
2013-06-20 13:00:00,42.08,70.12,42.44,35.56,36.52
2013-06-20 14:00:00,43.75,64.92,42.08,35.33,36.68
2013-06-20 15:00:00,45.73,74.13,44.25,36.2,37.79
2013-06-20 16:00:00,45.26,66.98,48.26,36.87,38.68
2013-06-20 17:00:00,42.71,59.04,47.58,38.17,40.2
2013-06-20 18:00:00,37.54,64.8,42.71,38.21,40.31
2013-06-20 19:00:00,37.31,54.27,37.54,39.13,41.24
2013-06-20 20:00:00,32.62,70.19,37.31,38.63,40.84
2013-06-20 21:00:00,31.2,32.62,32.62,36.53,38.66
2013-06-20 22:00:00,28.19,51.03,30.46,34.53,36.02
2013-06-20 23:00:00,22.21,51.61,24.58,34.81,36.37
2013-06-21 00:00:00,16.93,47.18,21.68,34.96,36.53
2013-06-21 01:00:00,15.89,36.29,16.53,33.37,35.0
2013-06-21 02:00:00,21.64,36.29,15.9,31.47,33.21
2013-06-21 03:00:00,32.7,43.19,20.1,31.29,33.3
2013-06-21 04:00:00,41.48,45.09,32.44,31.15,33.34
2013-06-21 05:00:00,42.1,54.13,42.5,26.89,28.49
2013-06-21 06:00:00,38.65,64.17,47.28,26.56,28.15
2013-06-21 07:00:00,37.19,77.87,38.65,26.46,27.98
2013-06-21 08:00:00,35.63,76.45,37.19,26.28,27.97
2013-06-21 09:00:00,34.98,77.2,35.63,27.56,29.07
2013-06-21 10:00:00,33.82,44.21,34.98,34.4,35.85
2013-06-21 11:00:00,32.33,34.55,33.82,35.02,35.81
2013-06-21 12:00:00,30.51,34.55,31.56,35.58,36.73
2013-06-21 13:00:00,29.85,30.27,30.27,36.58,37.67
2013-06-21 14:00:00,33.2,29.13,29.13,36.27,37.22
2013-06-21 15:00:00,34.67,33.57,33.57,44.09,45.37
2013-06-21 16:00:00,33.82,40.31,40.31,38.63,40.63
2013-06-21 17:00:00,33.27,47.65,47.65,41.0,43.3
2013-06-21 18:00:00,32.89,36.02,36.02,39.97,42.32
2013-06-21 19:00:00,32.8,33.7,33.7,39.94,42.26
2013-06-21 20:00:00,30.93,46.41,41.43,39.69,41.97
2013-06-21 21:00:00,14.46,30.93,30.93,38.78,41.1
2013-06-21 22:00:00,10.97,14.82,14.82,33.77,35.24
2013-06-21 23:00:00,8.75,11.24,11.24,33.51,35.06
2013-06-22 00:00:00,8.28,8.97,8.97,33.43,34.94
2013-06-22 01:00:00,6.2,8.48,8.48,34.66,36.47
2013-06-22 02:00:00,4.01,6.36,6.36,31.35,32.94
2013-06-22 03:00:00,7.38,4.01,4.01,28.16,29.59
2013-06-22 04:00:00,15.2,7.38,7.38,33.04,36.0
2013-06-22 05:00:00,21.72,12.39,15.2,30.28,32.29
2013-06-22 06:00:00,23.77,12.28,21.72,28.21,29.84
2013-06-22 07:00:00,24.41,13.57,23.77,27.81,29.34
2013-06-22 08:00:00,23.29,14.1,23.83,26.33,27.73
2013-06-22 09:00:00,22.84,14.66,22.74,24.86,25.84
2013-06-22 10:00:00,20.73,16.06,20.9,27.28,28.2
2013-06-22 11:00:00,17.19,15.43,15.43,30.86,31.76
2013-06-22 12:00:00,16.14,11.19,11.19,33.07,34.15
2013-06-22 13:00:00,20.73,11.87,11.87,33.91,34.5
2013-06-22 14:00:00,23.34,12.37,12.37,36.43,37.78
2013-06-22 15:00:00,26.81,12.38,21.61,40.69,42.35
2013-06-22 16:00:00,28.55,13.12,26.81,42.76,45.17
2013-06-22 17:00:00,26.18,14.75,28.55,42.21,44.04
2013-06-22 18:00:00,24.42,12.0,26.18,42.26,44.32
2013-06-22 19:00:00,25.48,10.93,24.42,42.62,44.61
2013-06-22 20:00:00,23.92,25.48,25.48,43.27,45.11
2013-06-22 21:00:00,11.47,19.23,19.23,42.81,44.87
2013-06-22 22:00:00,9.18,11.47,11.47,38.5,40.13
2013-06-22 23:00:00,8.2,9.18,9.18,35.48,37.1
2013-06-23 00:00:00,4.35,8.2,8.2,36.51,38.17
2013-06-23 01:00:00,3.03,4.35,4.35,35.38,37.08
2013-06-23 02:00:00,1.83,3.03,3.03,33.76,35.89
2013-06-23 03:00:00,1.49,1.83,1.83,30.74,32.28
2013-06-23 04:00:00,6.34,1.49,1.49,30.88,32.4
2013-06-23 05:00:00,9.69,6.34,6.34,28.93,30.42
2013-06-23 06:00:00,23.62,7.77,9.45,28.8,30.3
