Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2014-06-20 00:00:00,16.14,33.46,20.16,43.17,47.02
2014-06-20 01:00:00,18.16,32.91,16.14,42.13,45.78
2014-06-20 02:00:00,20.98,32.66,17.64,39.59,42.75
2014-06-20 03:00:00,26.4,29.17,21.49,34.8,37.62
2014-06-20 04:00:00,29.27,32.85,31.25,33.93,35.82
2014-06-20 05:00:00,30.71,37.79,37.79,29.99,31.49
2014-06-20 06:00:00,31.81,38.83,38.83,27.67,29.19
2014-06-20 07:00:00,32.29,43.19,40.2,24.27,25.38
2014-06-20 08:00:00,31.89,45.82,38.92,26.72,28.07
2014-06-20 09:00:00,32.09,53.86,38.83,30.72,32.14
2014-06-20 10:00:00,30.32,45.82,36.61,36.6,38.16
2014-06-20 11:00:00,26.82,48.52,30.32,36.98,38.23
2014-06-20 12:00:00,26.35,45.82,26.82,37.11,38.15
2014-06-20 13:00:00,26.78,37.79,26.35,38.73,39.83
2014-06-20 14:00:00,29.77,36.83,26.78,41.78,43.53
2014-06-20 15:00:00,28.85,37.79,30.49,42.04,43.9
2014-06-20 16:00:00,28.11,38.88,35.58,44.73,47.24
2014-06-20 17:00:00,27.3,38.24,38.24,42.17,44.49
2014-06-20 18:00:00,27.22,38.35,37.72,41.78,43.97
2014-06-20 19:00:00,28.19,36.18,36.18,41.98,44.2
2014-06-20 20:00:00,28.11,46.43,38.73,41.8,43.95
2014-06-20 21:00:00,27.09,48.4,36.62,42.01,44.23
2014-06-20 22:00:00,24.57,34.0,28.08,41.85,44.15
2014-06-20 23:00:00,21.73,33.44,25.18,41.01,42.75
2014-06-21 00:00:00,21.0,34.0,22.26,38.79,40.49
2014-06-21 01:00:00,20.64,33.12,21.0,37.07,38.6
2014-06-21 02:00:00,20.11,28.84,20.64,36.88,38.07
2014-06-21 03:00:00,21.01,20.11,20.11,33.61,34.38
2014-06-21 04:00:00,22.06,29.58,21.01,27.0,28.74
2014-06-21 05:00:00,25.29,28.84,22.61,25.25,26.65
2014-06-21 06:00:00,26.71,33.48,25.91,19.89,20.8
