Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2013-01-01 00:00:00,26.39,35.59,11.94,87.31,89.57
2013-01-01 01:00:00,23.55,35.2,9.17,86.03,89.21
2013-01-01 02:00:00,24.15,14.62,0.1,75.77,78.23
2013-01-01 03:00:00,27.54,11.01,2.17,75.97,78.01
2013-01-01 04:00:00,30.16,11.0,5.2,59.59,61.03
2013-01-01 05:00:00,30.24,10.96,-0.07,77.68,80.36
2013-01-01 06:00:00,30.01,10.84,4.26,64.23,66.58
2013-01-01 07:00:00,29.53,12.89,12.89,66.51,69.13
2013-01-01 08:00:00,30.47,13.12,13.12,48.99,50.49
2013-01-01 09:00:00,32.68,13.21,13.21,50.67,51.96
2013-01-01 10:00:00,32.68,15.38,15.38,50.39,51.39
2013-01-01 11:00:00,33.49,22.9,22.9,75.59,77.56
2013-01-01 12:00:00,34.94,18.8,18.8,64.88,65.94
2013-01-01 13:00:00,36.32,15.18,15.18,74.63,76.01
2013-01-01 14:00:00,37.75,15.84,15.84,78.09,79.03
2013-01-01 15:00:00,39.13,18.03,30.1,91.38,94.68
2013-01-01 16:00:00,39.51,34.6,39.13,96.47,101.37
2013-01-01 17:00:00,39.24,48.52,40.08,96.28,101.43
2013-01-01 18:00:00,38.3,40.01,40.01,93.49,98.61
2013-01-01 19:00:00,37.15,46.81,39.19,89.41,94.1
2013-01-01 20:00:00,37.41,39.95,36.27,78.61,81.24
2013-01-01 21:00:00,35.04,43.15,37.41,115.49,118.85
2013-01-01 22:00:00,35.46,35.63,27.03,154.34,159.0
2013-01-01 23:00:00,34.93,36.77,25.49,143.56,149.23
2013-01-02 00:00:00,34.37,36.56,16.11,129.76,135.61
2013-01-02 01:00:00,34.73,35.01,17.76,120.44,126.61
2013-01-02 02:00:00,35.6,34.74,12.75,104.24,110.72
2013-01-02 03:00:00,37.81,35.6,12.94,99.47,102.23
2013-01-02 04:00:00,39.66,32.51,22.11,82.58,84.99
2013-01-02 05:00:00,45.89,36.97,33.5,77.25,79.65
2013-01-02 06:00:00,42.56,66.29,47.92,57.4,58.99
2013-01-02 07:00:00,41.61,62.09,54.76,60.99,62.74
2013-01-02 08:00:00,41.76,64.84,56.13,60.38,62.09
2013-01-02 09:00:00,41.56,71.39,50.87,61.15,62.64
2013-01-02 10:00:00,41.1,71.39,48.51,81.06,81.7
2013-01-02 11:00:00,40.98,71.39,44.17,117.52,119.87
2013-01-02 12:00:00,41.06,72.55,45.04,122.27,124.09
2013-01-02 13:00:00,43.55,70.11,41.95,122.05,124.26
2013-01-02 14:00:00,43.1,53.91,45.89,120.73,122.92
2013-01-02 15:00:00,43.75,53.51,53.51,122.43,124.69
2013-01-02 16:00:00,42.78,80.92,61.36,115.82,118.39
2013-01-02 17:00:00,41.84,64.67,64.67,108.97,111.52
2013-01-02 18:00:00,40.45,61.65,61.65,103.56,106.5
2013-01-02 19:00:00,39.88,55.7,52.73,100.55,103.52
2013-01-02 20:00:00,39.27,51.22,40.87,102.09,103.81
2013-01-02 21:00:00,37.37,56.62,43.18,123.78,124.92
2013-01-02 22:00:00,35.52,47.16,36.94,130.58,130.91
2013-01-02 23:00:00,33.51,41.29,27.07,128.77,128.82
2013-01-03 00:00:00,33.33,37.14,21.67,125.45,126.47
2013-01-03 01:00:00,33.37,35.87,15.7,121.7,123.5
2013-01-03 02:00:00,35.18,36.05,15.1,110.4,112.86
2013-01-03 03:00:00,37.0,35.34,15.03,102.81,106.55
2013-01-03 04:00:00,38.45,37.0,19.42,70.08,71.56
2013-01-03 05:00:00,38.91,37.12,30.36,61.01,61.73
2013-01-03 06:00:00,39.29,46.06,38.69,50.65,51.25
2013-01-03 07:00:00,39.43,60.48,39.28,47.72,48.32
2013-01-03 08:00:00,39.64,60.48,39.43,47.61,48.28
2013-01-03 09:00:00,39.52,59.39,42.2,50.47,51.12
2013-01-03 10:00:00,39.42,61.24,42.21,67.51,67.07
2013-01-03 11:00:00,39.3,63.79,45.21,93.43,92.63
2013-01-03 12:00:00,39.59,66.34,43.16,102.55,101.92
2013-01-03 13:00:00,39.7,66.34,41.14,106.09,105.44
2013-01-03 14:00:00,40.19,64.72,40.92,94.67,94.01
2013-01-03 15:00:00,40.07,58.68,51.92,79.45,79.24
2013-01-03 16:00:00,39.81,91.13,58.24,76.91,77.15
2013-01-03 17:00:00,39.31,91.72,52.73,76.27,76.65
2013-01-03 18:00:00,38.75,82.93,45.87,76.43,77.13
2013-01-03 19:00:00,38.25,60.48,43.09,76.35,77.19
2013-01-03 20:00:00,37.52,60.48,38.85,74.57,74.68
2013-01-03 21:00:00,32.58,53.94,37.52,82.19,81.42
2013-01-03 22:00:00,32.6,57.46,30.35,112.19,110.64
2013-01-03 23:00:00,30.2,59.34,14.62,106.55,105.23
2013-01-04 00:00:00,28.86,53.92,12.86,105.53,105.81
2013-01-04 01:00:00,29.41,44.74,10.25,91.95,92.52
2013-01-04 02:00:00,31.19,38.01,11.92,75.22,77.19
2013-01-04 03:00:00,35.11,37.54,11.6,77.77,78.98
2013-01-04 04:00:00,39.1,35.79,19.37,64.71,65.35
2013-01-04 05:00:00,42.16,38.01,36.79,55.52,57.27
2013-01-04 06:00:00,39.9,53.99,39.87,51.45,53.18
2013-01-04 07:00:00,39.6,57.66,43.24,49.85,51.66
2013-01-04 08:00:00,39.73,60.22,43.29,50.05,51.72
2013-01-04 09:00:00,39.56,63.98,43.56,49.49,50.82
