Date,Hamina,St.Ghislain,Portland
2014-07-11 00:00:00,25.09,25.74,34.55
2014-07-11 01:00:00,25.47,25.09,37.0
2014-07-11 02:00:00,34.55,25.47,32.71
2014-07-11 03:00:00,40.99,27.92,30.25
2014-07-11 04:00:00,45.23,32.49,25.37
2014-07-11 05:00:00,45.46,39.67,22.0
2014-07-11 06:00:00,45.39,40.46,19.77
2014-07-11 07:00:00,45.13,39.39,19.7
2014-07-11 08:00:00,44.64,38.8,19.83
2014-07-11 09:00:00,43.53,39.16,21.32
2014-07-11 10:00:00,42.91,42.22,25.76
2014-07-11 11:00:00,43.55,37.79,29.15
2014-07-11 12:00:00,44.17,41.03,32.0
2014-07-11 13:00:00,43.08,37.79,35.09
2014-07-11 14:00:00,41.86,37.79,37.0
2014-07-11 15:00:00,40.87,37.79,39.0
2014-07-11 16:00:00,40.25,36.2,39.37
2014-07-11 17:00:00,40.0,37.79,40.85
2014-07-11 18:00:00,40.21,38.84,42.22
2014-07-11 19:00:00,40.18,38.79,41.75
2014-07-11 20:00:00,32.26,38.85,40.61
2014-07-11 21:00:00,31.74,32.26,39.17
2014-07-11 22:00:00,28.61,32.53,35.93
2014-07-11 23:00:00,27.1,28.61,32.82
2014-07-12 00:00:00,27.07,27.1,33.32
