Date,Hamina,St.Ghislain,Potsdam,Portland,Boston
2012-01-02 00:00:00,29.93,11.68,-0.01,45.04,46.59
2012-01-02 01:00:00,30.0,0.01,-11.95,43.54,45.03
2012-01-02 02:00:00,31.17,-5.43,-5.43,36.44,38.52
2012-01-02 03:00:00,32.55,-1.59,-1.59,35.9,38.36
2012-01-02 04:00:00,40.98,4.27,4.27,37.13,38.38
2012-01-02 05:00:00,43.28,17.24,30.17,28.39,30.25
2012-01-02 06:00:00,41.68,28.73,41.36,28.81,30.75
2012-01-02 07:00:00,40.99,32.12,41.53,22.39,23.85
2012-01-02 08:00:00,42.06,32.93,43.25,19.16,20.32
2012-01-02 09:00:00,41.98,35.04,47.78,19.2,20.33
2012-01-02 10:00:00,39.63,37.63,53.98,29.13,30.86
2012-01-02 11:00:00,38.29,41.74,56.13,29.38,30.92
2012-01-02 12:00:00,39.33,35.84,55.51,33.22,35.27
2012-01-02 13:00:00,44.41,32.42,53.91,39.09,41.33
2012-01-02 14:00:00,43.23,32.64,54.98,47.43,49.64
2012-01-02 15:00:00,41.01,32.31,59.16,42.47,44.43
2012-01-02 16:00:00,38.62,43.07,69.14,46.05,47.95
2012-01-02 17:00:00,37.72,50.82,60.23,42.53,44.27
2012-01-02 18:00:00,36.77,48.46,50.88,41.03,42.79
2012-01-02 19:00:00,35.99,37.64,47.78,37.08,38.59
2012-01-02 20:00:00,34.61,32.8,42.51,37.23,38.9
2012-01-02 21:00:00,31.84,33.38,38.9,64.64,66.74
2012-01-02 22:00:00,31.31,31.84,31.84,82.14,85.61
2012-01-02 23:00:00,27.57,26.74,31.31,78.18,82.17
2012-01-03 00:00:00,24.79,24.13,27.57,74.38,78.03
2012-01-03 01:00:00,24.76,16.1,23.54,56.63,58.43
2012-01-03 02:00:00,26.48,11.09,21.3,44.44,46.36
2012-01-03 03:00:00,31.32,10.78,20.53,43.93,46.14
2012-01-03 04:00:00,34.79,18.22,26.2,38.23,39.8
2012-01-03 05:00:00,35.94,37.67,42.28,35.01,37.07
2012-01-03 06:00:00,36.39,50.39,50.39,34.07,36.05
2012-01-03 07:00:00,36.14,50.77,57.34,29.49,30.98
2012-01-03 08:00:00,36.13,48.08,56.01,29.41,30.88
2012-01-03 09:00:00,36.05,47.24,47.88,32.86,34.66
2012-01-03 10:00:00,36.07,45.18,45.18,46.65,48.1
2012-01-03 11:00:00,36.12,42.75,42.75,80.54,81.27
2012-01-03 12:00:00,36.11,41.07,41.07,80.28,80.87
2012-01-03 13:00:00,36.42,38.63,38.63,74.92,75.4
2012-01-03 14:00:00,36.67,36.43,37.92,73.96,75.59
2012-01-03 15:00:00,36.49,34.35,39.72,74.3,75.95
2012-01-03 16:00:00,36.28,44.86,44.86,74.08,75.16
2012-01-03 17:00:00,35.69,50.49,50.49,71.08,72.11
2012-01-03 18:00:00,34.71,45.86,45.86,68.85,69.87
2012-01-03 19:00:00,32.96,37.97,37.97,59.49,60.4
2012-01-03 20:00:00,31.16,30.9,30.9,63.63,64.86
2012-01-03 21:00:00,26.33,30.71,30.71,85.92,86.97
2012-01-03 22:00:00,24.69,25.57,17.23,121.14,123.8
2012-01-03 23:00:00,24.53,20.41,5.41,106.83,108.77
2012-01-04 00:00:00,23.99,15.47,0.05,92.41,93.69
2012-01-04 01:00:00,24.23,11.77,0.04,82.11,82.93
2012-01-04 02:00:00,26.02,10.89,0.09,73.88,75.16
2012-01-04 03:00:00,27.7,10.77,10.7,72.64,74.87
2012-01-04 04:00:00,31.09,11.86,11.86,70.83,74.41
2012-01-04 05:00:00,39.85,22.07,22.07,58.08,60.58
2012-01-04 06:00:00,35.58,43.06,43.06,47.06,49.1
2012-01-04 07:00:00,35.5,47.39,47.39,44.8,46.84
2012-01-04 08:00:00,35.82,49.03,49.03,45.12,46.93
2012-01-04 09:00:00,35.91,49.57,48.56,53.72,55.49
2012-01-04 10:00:00,35.68,52.41,52.41,59.32,60.7
2012-01-04 11:00:00,35.71,50.65,50.65,80.63,80.51
2012-01-04 12:00:00,36.0,48.59,48.59,101.31,105.63
2012-01-04 13:00:00,39.84,46.18,46.18,87.5,90.0
2012-01-04 14:00:00,38.2,45.18,45.18,81.36,83.47
2012-01-04 15:00:00,37.03,48.4,48.4,77.32,79.13
2012-01-04 16:00:00,38.11,59.74,59.74,72.39,73.31
2012-01-04 17:00:00,37.8,65.11,62.0,60.4,61.22
2012-01-04 18:00:00,35.11,57.44,52.59,60.2,61.16
2012-01-04 19:00:00,34.51,44.8,44.8,60.18,61.36
2012-01-04 20:00:00,33.01,34.02,34.02,60.97,61.79
2012-01-04 21:00:00,29.28,33.02,33.02,72.01,72.55
2012-01-04 22:00:00,30.33,28.24,17.61,112.38,115.87
