Date,Portland,Boston,Richmond,Brighton,Hatfield,Madison,Georgetown
2013-06-20 00:00:00,30.45,31.76,30.39,30.69,29.32,31.65,30.41
2013-06-20 01:00:00,29.26,30.61,30.45,30.94,29.54,29.28,30.58
2013-06-20 02:00:00,33.46,34.9,27.73,27.96,26.78,29.35,27.82
2013-06-20 03:00:00,29.01,30.38,25.21,25.34,24.38,26.77,25.3
2013-06-20 04:00:00,35.66,37.67,20.98,21.27,20.54,24.4,21.15
2013-06-20 05:00:00,30.7,32.49,15.9,16.13,15.66,20.37,16.03
2013-06-20 06:00:00,29.3,31.12,22.34,22.55,21.95,15.5,22.48
2013-06-20 07:00:00,33.37,35.16,18.77,18.9,18.49,21.75,19.01
2013-06-20 08:00:00,23.48,24.78,22.69,22.85,22.32,18.28,22.85
2013-06-20 09:00:00,25.06,26.54,23.49,23.49,22.97,22.12,23.62
2013-06-20 10:00:00,30.7,32.39,24.45,24.49,23.82,22.81,24.61
2013-06-20 11:00:00,29.61,30.86,25.9,26.04,25.14,23.75,26.09
2013-06-20 12:00:00,29.55,30.57,28.22,28.53,27.37,25.09,28.44
2013-06-20 13:00:00,28.76,29.72,29.87,30.38,29.0,27.2,30.11
2013-06-20 14:00:00,29.03,30.17,33.87,34.66,32.92,28.73,34.03
2013-06-20 15:00:00,30.33,31.58,35.61,36.17,34.38,32.52,35.68
2013-06-20 16:00:00,29.25,30.66,39.28,39.33,37.46,34.11,39.16
2013-06-20 17:00:00,31.64,33.22,49.7,49.28,46.98,37.57,49.35
2013-06-20 18:00:00,37.96,40.05,47.33,46.31,44.16,47.51,46.55
2013-06-20 19:00:00,42.87,45.29,47.06,45.67,43.53,44.96,46.04
2013-06-20 20:00:00,35.07,37.04,64.72,62.49,59.62,44.68,63.34
2013-06-20 21:00:00,37.89,40.04,56.36,54.61,52.15,61.52,55.2
2013-06-20 22:00:00,31.86,33.37,44.59,43.26,41.37,53.61,43.7
2013-06-20 23:00:00,30.79,32.21,47.43,46.08,44.09,42.44,46.51
2013-06-21 00:00:00,30.73,32.35,37.81,37.08,35.46,45.19,37.22
2013-06-21 01:00:00,30.24,32.06,34.06,33.78,32.26,36.1,33.68
2013-06-21 02:00:00,28.66,30.65,32.85,31.87,30.5,32.58,31.85
2013-06-21 03:00:00,29.29,31.7,28.57,28.58,27.41,31.08,28.47
2013-06-21 04:00:00,36.53,39.74,24.74,25.02,24.08,27.5,24.8
2013-06-21 05:00:00,32.28,34.88,24.54,24.74,23.96,23.94,24.62
2013-06-21 06:00:00,25.3,27.23,6.65,6.68,6.49,23.8,6.66
2013-06-21 07:00:00,24.36,26.06,11.63,11.62,11.36,6.45,11.64
2013-06-21 08:00:00,23.0,24.7,23.25,23.13,22.65,11.32,23.27
2013-06-21 09:00:00,25.31,27.1,22.52,22.56,22.04,22.57,22.6
2013-06-21 10:00:00,32.66,34.39,23.67,23.63,23.05,21.88,23.74
2013-06-21 11:00:00,40.48,42.2,26.5,26.37,25.57,22.98,26.51
2013-06-21 12:00:00,41.57,43.3,28.97,28.89,27.8,25.59,28.91
2013-06-21 13:00:00,45.76,47.53,31.36,30.61,29.37,27.82,30.52
2013-06-21 14:00:00,45.78,47.62,38.12,34.96,33.64,29.64,35.2
2013-06-21 15:00:00,46.62,48.82,45.77,42.38,40.72,34.83,42.57
2013-06-21 16:00:00,54.01,56.28,46.7,39.89,38.39,41.93,40.54
2013-06-21 17:00:00,45.44,48.74,48.5,41.36,39.89,41.08,42.38
2013-06-21 18:00:00,47.33,50.93,48.33,45.66,43.87,42.68,45.83
2013-06-21 19:00:00,48.84,52.73,51.8,47.31,45.48,44.82,47.54
2013-06-21 20:00:00,49.05,52.9,51.06,47.41,45.53,47.13,47.4
2013-06-21 21:00:00,45.15,48.74,42.88,40.07,38.41,46.8,39.92
2013-06-21 22:00:00,45.41,47.76,37.25,35.21,33.71,39.41,34.91
2013-06-21 23:00:00,44.39,46.42,34.92,34.0,32.55,34.46,33.49
2013-06-22 00:00:00,39.01,40.82,32.7,33.11,31.73,32.79,32.53
2013-06-22 01:00:00,50.07,52.78,30.97,31.46,30.16,31.41,30.89
2013-06-22 02:00:00,36.04,37.77,30.16,30.53,29.32,29.77,30.12
2013-06-22 03:00:00,36.74,38.63,28.85,29.42,28.26,29.03,28.88
2013-06-22 04:00:00,31.84,34.11,26.78,27.66,26.58,27.86,26.88
2013-06-22 05:00:00,30.07,31.86,23.48,24.1,23.27,25.95,23.49
2013-06-22 06:00:00,28.75,30.43,23.73,24.41,23.66,22.76,23.79
2013-06-22 07:00:00,27.53,28.81,7.93,8.18,7.95,23.05,7.97
2013-06-22 08:00:00,28.21,29.5,0.41,0.43,0.41,7.72,0.41
2013-06-22 09:00:00,28.77,29.86,0.33,0.34,0.33,0.4,0.33
2013-06-22 10:00:00,29.17,30.06,1.65,1.69,1.72,0.32,1.83
2013-06-22 11:00:00,29.45,30.55,25.38,26.06,25.58,1.6,26.08
2013-06-22 12:00:00,30.49,31.3,27.61,28.22,27.38,24.65,27.92
2013-06-22 13:00:00,35.55,36.4,27.92,28.36,27.27,26.8,28.05
2013-06-22 14:00:00,36.87,38.16,31.37,31.79,30.43,26.91,31.37
