Date,Portland,Boston,Richmond,Brighton,Hatfield,Madison,Georgetown
2013-01-01 00:00:00,51.17,51.99,26.95,29.34,27.53,27.86,27.48
2013-01-01 01:00:00,51.1,52.5,24.65,26.58,25.16,26.46,25.16
2013-01-01 02:00:00,55.15,57.52,23.72,25.55,24.22,24.22,24.23
2013-01-01 03:00:00,46.66,48.46,24.9,26.87,25.45,23.33,25.44
2013-01-01 04:00:00,51.03,52.71,23.69,25.49,24.19,24.52,24.13
2013-01-01 05:00:00,97.67,100.44,23.9,25.75,24.45,23.34,24.36
2013-01-01 06:00:00,116.71,121.31,23.09,24.87,23.6,23.56,23.5
2013-01-01 07:00:00,34.66,36.0,20.17,21.62,20.56,22.78,20.49
2013-01-01 08:00:00,31.94,33.16,21.87,23.36,22.27,19.89,22.19
2013-01-01 09:00:00,34.36,35.76,16.01,17.14,16.36,21.59,16.26
2013-01-01 10:00:00,34.62,35.81,20.63,21.96,21.03,15.81,20.94
2013-01-01 11:00:00,34.04,34.98,21.32,22.58,21.65,20.35,21.61
2013-01-01 12:00:00,23.03,23.62,21.79,23.06,22.11,21.01,22.11
2013-01-01 13:00:00,41.58,42.57,21.65,23.0,22.04,21.46,21.99
2013-01-01 14:00:00,46.27,47.38,22.95,24.7,23.57,21.31,23.41
2013-01-01 15:00:00,53.65,55.55,26.02,28.2,26.76,22.63,26.58
2013-01-01 16:00:00,58.87,61.11,26.92,29.2,27.59,25.63,27.48
2013-01-01 17:00:00,71.75,74.38,26.51,28.83,27.2,26.49,27.08
2013-01-01 18:00:00,56.45,58.54,25.17,27.38,25.85,26.1,25.72
2013-01-01 19:00:00,39.71,41.22,23.83,25.75,24.36,24.78,24.3
2013-01-01 20:00:00,64.16,66.45,24.4,26.26,24.89,23.45,24.87
2013-01-01 21:00:00,128.14,131.94,26.5,28.67,27.15,24.04,27.07
2013-01-01 22:00:00,124.37,129.18,29.54,32.13,30.34,26.1,30.23
2013-01-01 23:00:00,174.99,182.66,28.75,30.92,29.29,29.03,29.35
2013-01-02 00:00:00,132.98,139.59,30.2,30.01,29.32,28.18,30.83
2013-01-02 01:00:00,123.41,130.45,29.16,28.3,28.66,29.48,29.9
2013-01-02 02:00:00,91.97,97.83,26.82,28.21,27.17,28.47,27.47
2013-01-02 03:00:00,67.7,71.12,23.15,23.98,23.28,26.31,23.65
2013-01-02 04:00:00,60.75,63.36,23.83,25.28,24.17,22.71,24.26
2013-01-02 05:00:00,62.98,66.04,24.11,25.44,24.41,23.39,24.5
2013-01-02 06:00:00,47.15,49.47,22.88,24.23,23.31,23.65,23.31
2013-01-02 07:00:00,35.52,37.21,22.99,24.44,23.53,22.49,23.47
2013-01-02 08:00:00,34.46,35.86,22.99,24.42,23.52,22.62,23.45
2013-01-02 09:00:00,26.93,27.86,23.84,25.16,24.19,22.61,24.23
2013-01-02 10:00:00,59.16,60.72,25.38,26.49,25.4,23.41,25.71
2013-01-02 11:00:00,113.88,115.7,28.39,29.76,28.34,24.9,28.79
2013-01-02 12:00:00,115.69,117.63,32.32,33.87,32.37,27.79,32.87
2013-01-02 13:00:00,112.7,114.26,31.06,31.5,30.78,31.58,31.65
2013-01-02 14:00:00,110.68,112.61,31.87,27.14,29.52,30.31,32.49
2013-01-02 15:00:00,108.33,110.79,32.38,30.97,31.47,30.89,33.12
2013-01-02 16:00:00,107.0,110.9,30.51,29.95,30.17,31.53,31.26
2013-01-02 17:00:00,104.19,108.0,29.43,28.6,28.89,29.73,30.1
2013-01-02 18:00:00,100.85,104.52,27.6,26.49,26.97,28.71,28.27
2013-01-02 19:00:00,96.24,99.82,28.42,27.38,27.82,26.92,29.19
2013-01-02 20:00:00,94.99,98.17,28.85,28.2,28.42,27.76,29.65
2013-01-02 21:00:00,104.05,107.36,28.5,29.09,28.61,28.19,29.34
2013-01-02 22:00:00,109.69,112.59,32.97,41.78,31.89,27.88,34.14
2013-01-02 23:00:00,111.98,114.58,34.8,34.24,34.28,32.06,35.73
2013-01-03 00:00:00,115.52,118.65,31.28,30.77,30.86,33.84,32.12
2013-01-03 01:00:00,107.76,110.16,32.61,35.91,29.92,30.47,33.23
2013-01-03 02:00:00,103.34,106.32,30.8,33.4,29.55,31.76,31.51
2013-01-03 03:00:00,109.22,112.11,29.53,31.74,30.11,30.1,30.25
2013-01-03 04:00:00,117.49,119.53,27.25,29.36,27.84,28.98,27.89
2013-01-03 05:00:00,94.77,96.45,26.43,28.53,27.12,26.77,27.07
2013-01-03 06:00:00,92.56,94.33,25.57,26.82,25.59,25.98,26.31
2013-01-03 07:00:00,64.53,65.61,25.83,25.63,25.5,24.92,26.43
2013-01-03 08:00:00,59.85,60.98,26.63,26.22,26.09,25.15,27.27
2013-01-03 09:00:00,69.66,71.29,27.3,27.11,26.84,25.89,27.79
2013-01-03 10:00:00,93.29,93.54,27.71,28.8,27.54,26.56,28.34
2013-01-03 11:00:00,197.3,199.77,30.4,33.79,29.86,26.93,30.83
2013-01-03 12:00:00,147.25,149.39,29.03,35.02,26.95,29.6,29.31
2013-01-03 13:00:00,104.27,105.96,30.25,33.02,29.72,28.12,30.7
2013-01-03 14:00:00,95.47,97.31,32.02,33.11,31.64,29.36,32.58
2013-01-03 15:00:00,77.15,78.57,29.6,31.69,29.9,31.22,30.16
2013-01-03 16:00:00,71.41,71.74,28.69,30.85,29.05,28.85,29.26
2013-01-03 17:00:00,56.56,56.89,27.58,29.66,27.98,27.93,28.12
2013-01-03 18:00:00,54.96,55.39,27.61,29.63,27.87,26.83,28.19
2013-01-03 19:00:00,41.99,42.38,27.07,28.97,27.33,26.81,27.59
2013-01-03 20:00:00,52.87,53.33,26.73,27.36,26.73,26.35,27.49
2013-01-03 21:00:00,59.97,60.26,27.58,29.02,27.93,26.12,28.35
2013-01-03 22:00:00,67.09,67.47,32.81,34.86,32.72,26.98,33.51
2013-01-03 23:00:00,64.3,64.51,31.45,35.5,29.57,31.94,32.12
2013-01-04 00:00:00,65.8,66.13,33.85,39.37,29.86,30.52,33.99
2013-01-04 01:00:00,60.31,60.45,31.75,36.48,28.29,32.8,32.01
2013-01-04 02:00:00,53.87,54.69,29.89,32.55,28.78,30.79,30.32
2013-01-04 03:00:00,46.65,47.37,28.3,30.84,28.35,29.09,28.74
2013-01-04 04:00:00,52.9,53.67,27.19,29.32,27.34,27.62,27.56
2013-01-04 05:00:00,113.63,114.61,25.51,27.06,25.63,26.51,25.81
2013-01-04 06:00:00,68.15,69.0,26.87,28.22,26.77,24.89,27.06
